player_name,slug,player_status,career_g,career_pts,career_trb,career_ast,career_stl,career_blk,career_tov,career_mp,career_fg_pct,career_fg3_pct,career_ft_pct,career_per,career_ts_pct,career_efg_pct,career_ws,career_ws_per48,career_bpm,career_vorp,career_obpm,career_dbpm,career_ppg,career_rpg,career_apg,career_spg,career_bpg,career_topg,career_mpg,mvp,dpoy,finals_mvp,all_nba_1st,all_nba_2nd,all_nba_3rd,championships,allstar,honors_index,is_benchmark,career_bpm_imputed,career_vorp_imputed
Tony Parker,parketo01,historical,56.0,530.0,83.0,207.0,21.0,7.0,75.0,1003.0,0.46,0.255,0.734,15.3,0.512,,0.9,0.044,-2.6,-0.1,-0.3,-2.3,9.464285714285714,1.4821428571428572,3.6964285714285716,0.375,0.125,1.3392857142857142,17.910714285714285,0.0,0.0,1.0,0.0,2.0,4.0,4.0,6.0,22.0,False,False,False
Manu Ginobili,ginobma01,historical,65.0,576.0,142.0,163.0,43.0,16.0,105.0,1299.0,0.434,0.333,0.84,12.9,0.553,,2.2,0.082,-1.3,0.2,-1.5,0.2,8.861538461538462,2.1846153846153844,2.5076923076923077,0.6615384615384615,0.24615384615384617,1.6153846153846154,19.984615384615385,0.0,0.0,0.0,0.0,2.0,1.0,4.0,2.0,15.5,False,False,False
Draymond Green,greendr01,active,54.0,463.0,299.0,286.0,44.0,33.0,141.0,1464.0,0.418,0.331,0.698,10.3,0.539,,1.4,0.046,-1.5,0.2,-2.5,1.1,8.574074074074074,5.537037037037037,5.296296296296297,0.8148148148148148,0.6111111111111112,2.611111111111111,27.11111111111111,0.0,1.0,0.0,0.0,1.0,3.0,4.0,4.0,18.5,False,False,False
Klay Thompson,thompkl01,active,58.0,688.0,132.0,79.0,30.0,16.0,56.0,1276.0,0.394,0.384,0.75,11.5,0.542,,0.6,0.023,-1.3,0.2,0.0,-1.3,11.862068965517242,2.2758620689655173,1.3620689655172413,0.5172413793103449,0.27586206896551724,0.9655172413793104,22.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,17.5,False,False,False
Russell Westbrook,westbru01,active,61.0,943.0,332.0,398.0,78.0,10.0,201.0,1765.0,0.431,0.343,0.711,15.2,0.533,,0.4,0.011,-0.4,0.7,0.7,-1.1,15.459016393442623,5.442622950819672,6.524590163934426,1.278688524590164,0.16393442622950818,3.2950819672131146,28.934426229508198,1.0,0.0,0.0,2.0,5.0,5.0,0.0,9.0,21.0,False,False,False
James Harden,hardeja01,active,12.0,242.0,60.0,94.0,6.0,6.0,39.0,401.0,0.487,0.451,0.803,19.1,0.654,,1.4,0.167,5.0,0.7,5.3,-0.3,20.166666666666668,5.0,7.833333333333333,0.5,0.5,3.25,33.416666666666664,1.0,0.0,0.0,6.0,4.0,3.0,0.0,10.0,27.5,False,False,False
Damian Lillard,lillada01,active,58.0,1447.0,272.0,410.0,70.0,10.0,162.0,2093.0,0.448,0.376,0.921,21.3,0.621,,7.6,0.175,4.0,3.2,4.7,-0.6,24.948275862068964,4.689655172413793,7.068965517241379,1.206896551724138,0.1724137931034483,2.793103448275862,36.08620689655172,0.0,0.0,0.0,2.0,3.0,2.0,0.0,7.0,11.5,False,False,False
Devin Booker,bookede01,active,50.0,1264.0,201.0,304.0,45.0,14.0,160.0,1669.0,0.45,0.326,0.872,20.1,0.579,,4.8,0.139,1.9,1.6,2.9,-1.0,25.28,4.02,6.08,0.9,0.28,3.2,33.38,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,6.0,False,False,False
Luka Doncic,doncilu01,active,54.0,1774.0,427.0,457.0,82.0,29.0,215.0,1918.0,0.475,0.367,0.776,27.9,0.616,,8.1,0.202,9.1,5.4,7.9,1.2,32.851851851851855,7.907407407407407,8.462962962962964,1.5185185185185186,0.5370370370370371,3.9814814814814814,35.51851851851852,0.0,0.0,0.0,4.0,2.0,0.0,0.0,5.0,12.5,False,False,False
Giannis Antetokounmpo,antetgi01,active,35.0,962.0,338.0,188.0,34.0,24.0,114.0,1016.0,0.628,0.333,0.648,32.4,0.661,,5.0,0.234,9.4,2.9,7.6,1.9,27.485714285714284,9.657142857142857,5.371428571428571,0.9714285714285714,0.6857142857142857,3.257142857142857,29.02857142857143,2.0,1.0,1.0,5.0,2.0,2.0,1.0,9.0,35.5,False,False,False
Joel Embiid,embiijo01,active,33.0,878.0,249.0,130.0,21.0,35.0,98.0,1029.0,0.495,0.318,0.858,24.9,0.606,,3.4,0.16,4.6,1.7,5.0,-0.4,26.606060606060606,7.545454545454546,3.9393939393939394,0.6363636363636364,1.0606060606060606,2.9696969696969697,31.181818181818183,1.0,0.0,0.0,4.0,2.0,2.0,0.0,7.0,19.5,False,False,False
Anthony Davis,davisan02,active,20.0,407.0,221.0,56.0,22.0,33.0,41.0,626.0,0.506,0.27,0.728,21.8,0.551,,1.5,0.112,2.4,0.7,1.5,0.9,20.35,11.05,2.8,1.1,1.65,2.05,31.3,0.0,0.0,0.0,4.0,3.0,1.0,1.0,8.0,18.5,False,False,False
Nikola Jokic,jokicni01,active,51.0,1463.0,646.0,532.0,73.0,41.0,192.0,1768.0,0.573,0.389,0.837,33.6,0.68,,12.1,0.33,14.8,7.5,10.7,4.1,28.686274509803923,12.666666666666666,10.431372549019608,1.4313725490196079,0.803921568627451,3.764705882352941,34.666666666666664,3.0,0.0,1.0,5.0,1.0,1.0,1.0,7.0,36.0,True,False,False
Kawhi Leonard,leonaka01,active,51.0,1441.0,325.0,192.0,102.0,23.0,105.0,1654.0,0.503,0.38,0.906,28.4,0.63,,7.6,0.22,8.5,4.4,7.5,1.0,28.254901960784313,6.372549019607843,3.764705882352941,2.0,0.45098039215686275,2.0588235294117645,32.431372549019606,0.0,2.0,2.0,2.0,4.0,1.0,2.0,6.0,27.5,False,False,False
Kyrie Irving,irvinky01,active,50.0,1234.0,240.0,231.0,66.0,23.0,111.0,1804.0,0.473,0.401,0.916,19.9,0.594,,4.6,0.124,3.4,2.5,3.9,-0.5,24.68,4.8,4.62,1.32,0.46,2.22,36.08,0.0,0.0,1.0,1.0,4.0,2.0,1.0,7.0,16.5,False,False,False
Jimmy Butler,butleji01,active,38.0,760.0,211.0,185.0,55.0,8.0,60.0,1182.0,0.519,0.376,0.864,23.6,0.646,,5.9,0.239,5.5,2.3,5.0,0.6,20.0,5.552631578947368,4.868421052631579,1.4473684210526316,0.21052631578947367,1.5789473684210527,31.105263157894736,0.0,0.0,0.0,1.0,4.0,3.0,0.0,6.0,10.5,False,False,False
Bam Adebayo,adebaba01,active,59.0,1182.0,577.0,171.0,65.0,41.0,103.0,1872.0,0.444,0.324,0.779,18.5,0.551,,5.2,0.132,2.0,1.9,1.4,0.6,20.033898305084747,9.779661016949152,2.8983050847457625,1.1016949152542372,0.6949152542372882,1.7457627118644068,31.728813559322035,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,3.5,False,False,False
Jayson Tatum,tatumja01,active,3.0,59.0,20.0,11.0,3.0,0.0,4.0,81.0,0.393,0.29,0.857,18.9,0.499,,0.2,0.1,1.3,0.1,1.3,0.0,19.666666666666668,6.666666666666667,3.6666666666666665,1.0,0.0,1.3333333333333333,27.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,6.0,16.5,False,False,False
Jaylen Brown,brownja02,active,59.0,1677.0,420.0,305.0,59.0,25.0,212.0,2010.0,0.479,0.347,0.785,22.3,0.57,,5.6,0.134,3.6,2.8,3.7,-0.1,28.423728813559322,7.11864406779661,5.169491525423729,1.0,0.423728813559322,3.593220338983051,34.067796610169495,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,8.5,False,False,False
Donovan Mitchell,mitchdo01,active,58.0,1642.0,262.0,336.0,90.0,17.0,173.0,1941.0,0.48,0.366,0.856,23.2,0.612,,6.9,0.171,5.4,3.7,5.5,0.0,28.310344827586206,4.517241379310345,5.793103448275862,1.5517241379310345,0.29310344827586204,2.9827586206896552,33.46551724137931,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,5.0,False,False,False
De'Aaron Fox,foxde01,active,57.0,1089.0,211.0,362.0,69.0,14.0,132.0,1798.0,0.492,0.346,0.749,18.0,0.586,,5.3,0.14,2.4,2.0,1.9,0.5,19.105263157894736,3.7017543859649122,6.350877192982456,1.2105263157894737,0.24561403508771928,2.3157894736842106,31.54385964912281,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,False,False,False
Ja Morant,moranja01,active,20.0,389.0,65.0,161.0,20.0,6.0,71.0,569.0,0.41,0.235,0.897,16.7,0.521,,0.5,0.04,-1.5,0.1,0.5,-2.0,19.45,3.25,8.05,1.0,0.3,3.55,28.45,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,False,False,False
Zion Williamson,willizi01,active,50.0,1072.0,294.0,169.0,51.0,27.0,105.0,1479.0,0.587,0.25,0.715,23.2,0.632,,4.9,0.158,2.9,1.9,3.7,-0.8,21.44,5.88,3.38,1.02,0.54,2.1,29.58,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.5,False,False,False
Paolo Banchero,banchpa01,active,55.0,1221.0,472.0,275.0,35.0,34.0,161.0,1922.0,0.463,0.308,0.771,17.9,0.566,,4.0,0.1,1.4,1.7,1.4,0.0,22.2,8.581818181818182,5.0,0.6363636363636364,0.6181818181818182,2.9272727272727272,34.945454545454545,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,False,False,False
Victor Wembanyama,wembavi01,active,51.0,1234.0,568.0,146.0,51.0,153.0,131.0,1493.0,0.506,0.36,0.815,28.2,0.625,,7.3,0.234,9.3,4.3,5.5,3.8,24.19607843137255,11.137254901960784,2.8627450980392157,1.0,3.0,2.5686274509803924,29.274509803921568,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.5,True,False,False
Shai Gilgeous-Alexander,gilgesh01,active,55.0,1747.0,248.0,365.0,75.0,45.0,118.0,1848.0,0.554,0.383,0.895,31.6,0.669,,12.9,0.334,12.2,6.6,9.1,3.0,31.763636363636362,4.509090909090909,6.636363636363637,1.3636363636363635,0.8181818181818182,2.1454545454545455,33.6,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,8.0,True,False,False
Evan Mobley,mobleev01,active,51.0,904.0,445.0,187.0,42.0,96.0,98.0,1656.0,0.52,0.309,0.623,19.0,0.582,,4.9,0.141,2.9,2.0,1.5,1.4,17.725490196078432,8.72549019607843,3.6666666666666665,0.8235294117647058,1.8823529411764706,1.9215686274509804,32.470588235294116,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,False,False,False
Scottie Barnes,barnesc01,active,63.0,1185.0,495.0,336.0,87.0,97.0,167.0,2161.0,0.499,0.299,0.835,18.9,0.574,,5.9,0.131,3.4,2.9,1.4,2.0,18.80952380952381,7.857142857142857,5.333333333333333,1.380952380952381,1.5396825396825398,2.6507936507936507,34.301587301587304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Paul Pierce,piercpa01,historical,25.0,81.0,48.0,10.0,4.0,5.0,16.0,277.0,0.4,0.349,0.769,5.7,0.535,,0.1,0.015,-4.7,-0.2,-4.7,0.1,3.24,1.92,0.4,0.16,0.2,0.64,11.08,0.0,0.0,1.0,0.0,3.0,5.0,1.0,10.0,16.5,False,False,False
Ray Allen,allenra02,historical,73.0,701.0,205.0,143.0,54.0,8.0,84.0,1936.0,0.442,0.375,0.905,12.8,0.59,,4.1,0.101,-0.4,0.8,0.5,-0.9,9.602739726027398,2.808219178082192,1.9589041095890412,0.7397260273972602,0.1095890410958904,1.1506849315068493,26.52054794520548,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,11.5,False,False,False
Vince Carter,cartevi01,historical,60.0,298.0,124.0,48.0,23.0,25.0,33.0,876.0,0.352,0.302,0.793,7.5,0.47,,-0.2,-0.011,-4.3,-0.5,-3.1,-1.2,4.966666666666667,2.066666666666667,0.8,0.38333333333333336,0.4166666666666667,0.55,14.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,4.5,False,False,False
Tracy McGrady,mcgratr01,historical,,,,,,,,,,,,,,,,,0.8500000000000001,0.7,0.595,0.255,,,,,,,,0.0,0.0,0.0,2.0,3.0,2.0,0.0,7.0,11.5,False,True,True
Grant Hill,hillgr01,historical,29.0,93.0,49.0,26.0,11.0,7.0,25.0,437.0,0.388,0.273,0.583,4.8,0.428,,-0.1,-0.014,-5.6,-0.4,-5.3,-0.3,3.206896551724138,1.6896551724137931,0.896551724137931,0.3793103448275862,0.2413793103448276,0.8620689655172413,15.068965517241379,0.0,0.0,0.0,0.0,1.0,3.0,0.0,7.0,6.0,False,False,False
Dikembe Mutombo,mutomdi01,historical,9.0,16.0,33.0,0.0,0.0,11.0,6.0,96.0,0.385,,0.667,10.8,0.472,,0.2,0.088,-3.0,0.0,-4.1,1.1,1.7777777777777777,3.6666666666666665,0.0,0.0,1.2222222222222223,0.6666666666666666,10.666666666666666,0.0,4.0,0.0,0.0,3.0,3.0,0.0,8.0,16.5,False,False,False
Artis Gilmore,gilmoar01,historical,,,,,,,,,,,,,,,,,0.8500000000000001,0.7,0.595,0.255,,,,,,,,0.0,0.0,0.0,2.0,4.0,0.0,0.0,11.0,13.5,False,True,True
Sidney Moncrief,moncrsi01,historical,72.0,337.0,128.0,104.0,50.0,9.0,66.0,1096.0,0.488,0.328,0.781,11.2,0.589,,1.8,0.079,-0.7,0.4,-1.6,0.9,4.680555555555555,1.7777777777777777,1.4444444444444444,0.6944444444444444,0.125,0.9166666666666666,15.222222222222221,0.0,2.0,0.0,1.0,3.0,0.0,0.0,5.0,11.5,False,False,False
Jack Sikma,sikmaja01,historical,77.0,802.0,441.0,143.0,65.0,64.0,130.0,1940.0,0.427,0.341,0.843,13.7,0.516,,3.5,0.088,-0.5,0.8,-0.8,0.3,10.415584415584416,5.7272727272727275,1.8571428571428572,0.8441558441558441,0.8311688311688312,1.6883116883116882,25.194805194805195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Dennis Johnson,johnsde02,historical,5.0,6.0,7.0,0.0,1.0,0.0,3.0,37.0,0.333,,,0.5,0.333,,-0.1,-0.091,-10.3,-0.1,-9.6,-0.7,1.2,1.4,0.0,0.2,0.0,0.6,7.4,0.0,1.0,0.0,0.0,3.0,2.0,3.0,5.0,17.5,False,False,False
Bobby Jones,jonesbo02,historical,3.0,2.0,2.0,1.0,2.0,0.0,1.0,20.0,0.25,0.0,,3.4,0.25,,0.0,-0.042,-2.0,0.0,-6.8,4.8,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Spencer Haywood,haywosp01,historical,38.0,313.0,183.0,30.0,12.0,27.0,67.0,775.0,0.401,0.0,0.724,10.0,0.447,,0.4,0.025,-4.6,-0.5,-4.1,-0.5,8.236842105263158,4.815789473684211,0.7894736842105263,0.3157894736842105,0.7105263157894737,1.763157894736842,20.394736842105264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Connie Hawkins,hawkico01,historical,74.0,610.0,445.0,212.0,80.0,46.0,,1907.0,0.447,,0.712,14.3,0.497,,3.5,0.087,1.3,1.6,0.4,0.9,8.243243243243244,6.013513513513513,2.864864864864865,1.0810810810810811,0.6216216216216216,,25.77027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Calvin Murphy,murphca01,historical,64.0,816.0,74.0,158.0,59.0,4.0,89.0,1423.0,0.447,0.286,0.92,14.8,0.498,,1.6,0.055,-1.7,0.1,-0.5,-1.1,12.75,1.15625,2.46875,0.921875,0.0625,1.390625,22.234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Bob Love,lovebo01,historical,32.0,131.0,87.0,21.0,13.0,2.0,,450.0,0.372,,0.872,9.1,0.462,,0.5,0.055,-3.3,-0.1,-2.8,-0.5,4.09375,2.71875,0.65625,0.40625,0.0625,,14.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Bailey Howell,howelba01,historical,82.0,878.0,441.0,115.0,,,,1589.0,0.472,,0.73,17.0,0.532,,5.0,0.152,0.8,0.15,0.5599999999999999,0.24,10.707317073170731,5.378048780487805,1.4024390243902438,,,,19.378048780487806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True
Paul Arizin,arizipa01,historical,78.0,1706.0,527.0,201.0,,,,2785.0,0.41,,0.805,15.0,0.486,,6.3,0.109,0.0,0.189,0.0,0.0,21.871794871794872,6.756410256410256,2.576923076923077,,,,35.705128205128204,0.0,0.0,0.0,3.0,6.0,0.0,1.0,10.0,20.0,False,True,True
Dolph Schayes,schaydo01,historical,24.0,134.0,110.0,48.0,,,,350.0,0.308,,0.807,11.5,0.399,,-0.1,-0.01,-1.4000000000000001,-0.003,-0.98,-0.42000000000000004,5.583333333333333,4.583333333333333,2.0,,,,14.583333333333334,0.0,0.0,0.0,6.0,6.0,0.0,1.0,12.0,27.0,False,True,True
Fat Lever,leverfa01,historical,81.0,555.0,283.0,213.0,159.0,15.0,88.0,1947.0,0.408,0.351,0.765,13.2,0.462,,2.9,0.07,0.5,1.3,-1.8,2.4,6.851851851851852,3.493827160493827,2.6296296296296298,1.962962962962963,0.18518518518518517,1.0864197530864197,24.037037037037038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Mark Aguirre,aguirma01,historical,39.0,413.0,116.0,104.0,21.0,8.0,70.0,859.0,0.468,0.398,0.694,13.1,0.544,,0.9,0.05,-1.8,0.0,-0.5,-1.4,10.58974358974359,2.9743589743589745,2.6666666666666665,0.5384615384615384,0.20512820512820512,1.794871794871795,22.025641025641026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Dave DeBusschere,debusda01,historical,71.0,1282.0,757.0,253.0,67.0,39.0,,2699.0,0.461,,0.756,16.3,0.49,,7.0,0.125,1.7,2.5,0.9,0.7,18.056338028169016,10.661971830985916,3.563380281690141,0.9436619718309859,0.5492957746478874,,38.014084507042256,0.0,0.0,0.0,0.0,2.0,6.0,2.0,8.0,15.0,False,False,False
Jerry Sloan,sloanje01,historical,22.0,223.0,116.0,22.0,27.0,5.0,,617.0,0.4,,0.705,11.2,0.456,,0.9,0.068,-2.1,0.0,-2.4,0.4,10.136363636363637,5.2727272727272725,1.0,1.2272727272727273,0.22727272727272727,,28.045454545454547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Chet Walker,walkech01,historical,76.0,1461.0,432.0,169.0,49.0,6.0,,2452.0,0.487,,0.86,19.5,0.568,,10.5,0.205,2.5,2.8,3.2,-0.7,19.223684210526315,5.684210526315789,2.223684210526316,0.6447368421052632,0.07894736842105263,,32.26315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
